ConstituentID,DisplayName,Nationality,Gender
3355,Colin Lanceley,Australian,Male
7676,Antonio Muntadas,Spanish,Male
5162,Richard Sapper,German,Male
47775,Ben Johnston,American,
34217,Peter Haythornthwaite,New Zealander,
27898,Carl Mertens,German,Male
31072,Krzysztof Wodiczko,Polish,Male
4727,Maurice Prendergast,American,Male
28761,Richard Phillips,American,Male
23836,Iukhym Mykhailiv,,Male
49819,Christian Hasucha,German,
45151,Manfred Montwé,,
912,John Cage,American,Male
24598,Paul Parker,American,Male
1978,Gianfranco Frattini,Italian,Male
26608,Stan Brakhage,American,Male
48227,Marko Čolić,,Male
41582,Adolf Born,Czech,Male
2586,Jean Hélion,French,Male
2988,Morris Kantor,American,Male
27971,Rivane Neuenschwander,Brazilian,Female
2859,Gerald Jackson,American,Male
7736,Arnold Lafontant,Haitian,Male
2800,Ikeda Fumio (pen Name: Suijo),Japanese,Male
31369,Julia Seyr,,Female
731,Paul Bradley,American,Male
3270,Nicholas Krushenick,American,Male
7415,Shinro Otake,Japanese,Male
3780,Gino Marotta,Italian,Male
74795,Alexandra Pavlova,Russian,Female
2426,Luke Gwilliam,American,Male
775,G. Stanislaus Brien,British,
69625,Tomás Gutiérrez Alea,Cuban,Male
6068,Henry Clemens van de Velde,Belgian,Male
6232,Karl Walser,Swiss,Male
5769,Maurice Tabard,French,Male
47844,Billy Squier,,
44471,Joe Thompson,,
34174,Richard Hutten,Dutch,Male
4325,Sidney Nolan,Australian,Male
5443,David Simpson,American,Male
9113,"Moss Tent Works, Camden, ME",,
875,Burkhard,Swiss,
3229,Josef Koudelka,Czech,Male
9467,"Thomson Consumer Electronics, France for Saba, France",,
10013,"Hall China Co., East Liverpool, OH",,
7117,Mel Chin,American,Male
29968,Jim Campbell,American,Male
46548,Brigitte Hellgoth,German,Female
2590,Alexander Henderson,Canadian,Male
5746,Yoshio Suzuki,Japanese,Male
37300,Sauerbruch Hutton,,
6406,Alfred Winter-Rust,German,Male
5977,Turner,Nationality unknown,
32968,Design Interactions Department,British,
3327,Terence La Noue,American,Male
13705,Boris Naumov,,Male
28479,Anders Hansen,Norwegian,
41431,Andrés Jaque,Spanish,Male
31742,Joëlle Tuerlinckx,Belgian,Female
48274,Silk and Textile Printers Ltd,Australian,
6533,Ossip Zadkine,French,Male
35145,Josephine Meckseper,German,Female
1557,Eugenio Dittborn,Chilean,Male
5249,Robert Schneider,American,Male
1750,Hans Erni,Swiss,Male
6544,Marco Zanuso,Italian,Male
8602,Kent Porter/The Press Democrat via Assocated Press,American,Male
4457,Tetsoro Oya,Japanese,Male
6330,Harold Weston,American,Male
9679,"Vereinigte Werkstätten für Kunst im Handwerk, Munich",,
37699,Harold Krieger,,
5459,Harold Sitterle,American,Male
41411,Heinrich Zernack,German,Male
2414,Jules Guran,Nationality unknown,Male
2453,Johann Hahn,German,Male
7613,Peter Lynch,American,Male
6478,Kazuo Yagi,Japanese,Male
23473,David Shterenberg,,Male
75564,Wesley Sharer,American,Male
32686,Tom O'Sullivan,British,Male
27037,Walter Hunt,American,Male
4479,Panamarenko,Belgian,Male
6863,Robert Stackhouse,American,Male
3333,Georges Lacombe,French,Male
44248,David Degener,,
29519,John Brassil,American,Male
49595,André Carneiro,Brazilian,Male
4380,Haruzo Ohashi,Japanese,Male
789,Alexander Brodsky,Russian,Male
37334,Riccardo Blumer,Swiss,Male
7696,Nicholas Grimshaw,British,Male
9919,"The Silex Company Boston, MA (now Silex & Equipment Div., Bloomfield Industries, New York, NY)",,
39477,Chris Sugrue,American,Female
7680,Michael Joaquin Grey,American,Male
34145,Juan Melé,Argentine,Male
24341,Ivan Leonidov,Russian,Male
882,Marsha Burns,American,Female
34625,Paul Richards,,
40529,Ryan Gander,British,Male
34543,einLab,American,
1408,James Edward Davis,American,Male
23461,Aleksei Den'shin,,Male
1516,David Deutsch,American,Male
41844,Marleen Gorris,Dutch,Female
68145,Yara Said,,
2419,Philip Guston,American,Male
5315,Richard Seewald,German,Male
4088,Carlo Moretti,Italian,Male
